Equipo;Fecha;Bloque;Ciclo;Hi;Hf;DMOV_CARGA_MEDIDA;N_Pinzadas;N_Trozas;Producto;Vol_i;VOL_TOT;TVVSC;TVVSL;TMOVCARGA;TPINZADA;TVCL;TVCSC;TDESCARGA;TPARADA;TRETORNO;DVVSC;DVVSL;DMOVCARGA;DPINZADA;DVCL;DVCSC;DDESCARGA;DPARADA;DRETORNO;TAE;Conc_trozas;Estado Verificacion;Comentario;Eficiencia;PEF;DE;DT_GIS;DM_GIS;DE_PL;fcd;pendiente
Ponsse BK;17/9/2019;Tarde;1;15:58:40;16:29:25;;26;71;12 pie;0.180782228;12.83553822;64.5742917;16.1923959;197.4289375;467.2491249;149.6621043;0;421.7266458;528.6464999;;73.14868613;14.34460455;155.3448881;45.10172379;111.2400683;0;55.42523776;81.73533809;;1316.8335;;;;0.713545257;35.09018991;254.7115676;319;159.5;50;3.19;32.05932882
Ponsse BK;17/9/2019;Tarde;2;16:29:28;17:01:58;;15;48;12 pie;0.180782228;8.677546967;0;50.3772917;128.1231873;269.2572085;100.2597501;0;251.6912916;1126.599729;;0;56.5416275;93.48520285;32.45581567;95.95177307;0;36.25447711;274.9070263;;799.7087292;;;;0.41515092;39.06318381;169.7319031;292;146;50;2.92;27.19464561
Ponsse BK;17/9/2019;Tarde;3;16:42:46;17:16:28;;20;27;16 pie;0.384350678;10.3774683;0;28.7327083;312.3031666;307.0567293;53.1799791;0;195.6334584;0;;0;30;274.0869147;16.30433877;40.5403543;0;22.42398512;8.663787543;;896.9060417;;;;1;41.65306524;309.3570919;282;141;50;2.82;30.69061107
Ponsse BK;17/9/2019;Tarde;4;17:16:31;17:38:34;;27;34;16 pie;0.384350678;13.06792304;0;102.2729791;517.5565413;384.3340004;52.0822709;53.3209375;216.3582291;0;;0;90.27722416;419.558607;31.40864234;42.39904146;25.37875951;21.59045965;0;;1325.924958;;;;1;35.48053202;498.5861195;421;210.5;50;4.21;31.04224193
Ponsse BK;17/9/2019;Tarde;5;17:38:37;17:53:43;;5;7;16 pie;0.384350678;2.690454744;88.8472083;52.3607917;47.9227706;72.1657085;45.2915834;0;49.1593542;553.8436042;;61.48849058;65.38063017;36.14648535;8.202990502;51.54001708;0;5.259225843;54.93253857;;355.7474167;;;;0.391107001;27.22616278;125.3510543;189;94.5;50;1.89;30.51770657
Ponsse BK;17/9/2019;Tarde;6;17:44:31;18:22:46;;21;23;16 pie;0.384350678;8.840065586;303.2631666;12.8948126;350;322.058229;0;64.5042708;191.4210209;80.8986876;;423.774501;10.46226123;540.6652477;20.72681873;0;48.38667779;31.92580941;87.84447206;;1244.1415;;;;0.938946238;25.57927383;781.9769677;1000;500;75;6.666666667;34.38392393
Ponsse BK;17/9/2019;Tarde;7;18:22:49;18:59:55;;20;75;12 pie;0.180782228;13.55866714;38.4357917;78.4584375;253.4444167;355.8875624;64.9846042;39.6174792;269.83075;1017.225354;;24.80489994;98.68695021;277.734521;37.41369289;57.60661648;23.68447263;62.24910242;255.7480618;;1100.659042;;;;0.519697413;44.34725;380.1259906;412;206;75;2.746666667;39.59889507
Ponsse BK;17/9/2019;Tarde;8;18:59:58;19:14:07;;21;66;12 pie;0.180782228;11.93162708;25.1534167;0;317.1871044;381.347104;62.4381668;30.5418332;230.76;35.1860833;;11.39966707;0;242.5348472;60.56831753;70.05290062;26.2728475;0;17.43023581;;1047.427625;;;;0.967498949;41.00890263;296.3975548;303;151.5;75;2.02;35.63288887
Ponsse BK;17/9/2019;Tarde;9;19:14:10;19:35:58;;23;72;12 pie;0.180782228;13.01632045;243.1699375;9.2567084;261.3239579;453.3971671;45.76325;47.2473958;250.2596042;0;;300;7.252798818;202.1347552;55.20721051;18.98037274;47.50902485;36.32656005;0;;1310.418021;;;;1;35.75863036;389.0058534;188;94;75;1.253333333;37.54977841
Ponsse BK;18/9/2019;Manana;1;11:31:51;11:55:25;;35;111;pulpable;0.084774822;9.410005237;0;268.351625;382.3905415;507.3848544;54.2226666;0;195.541625;0;;0;340.4661851;331.5352081;47.12934942;70.04452809;0;29.32404609;0;;1407.891312;;;;1;24.06152986;536.7905646;725;362.5;111.7;3.24529991;35.18882092
Ponsse BK;18/9/2019;Manana;2;11:55:28;12:20:22;;37;124;pulpable;0.084774822;10.51207792;307.8848125;0;379.1571867;577.1553133;0;56.3120625;180.2134792;0;;472.7924536;0;325.3918085;68.82309599;0;57.3888346;28.70739489;0;;1500.722854;;;;1;25.21683495;590.4824526;780;390;111.7;3.491495076;33.94455568
Ponsse BK;18/9/2019;Manana;3;12:20:25;12:47:31;;30;132;pulpable;0.084774822;11.1902765;53.1775833;22.3888958;559.0691873;625.9968336;0;167.957875;200.7962709;0;;59.29265906;18.54691924;462.6422453;90.12030609;0;207.6466951;25.90425121;0;;1629.386646;;;;1;24.72402453;605.385382;693;346.5;111.7;3.102059087;33.64304335
Ponsse BK;18/9/2019;Manana;4;12:47:34;13:40:10;;31;134;pulpable;0.084774822;11.35982614;138.1356667;25.2767084;674.332271;579.922708;36.3032292;127.2836042;229.7253124;1345.008396;;255.8241455;9.148746803;501.1921253;73.55257441;37.90386382;162.9111723;37.40539466;154.3569354;;1810.9795;;;;0.573823335;22.58190891;734.0860894;884;442;111.7;3.957027753;35.37136756
Ponsse BK;18/9/2019;Manana;5;13:40:13;14:19:21;;32;135;pulpable;0.084774822;11.44460096;143.3310208;40.1866458;523.9666039;567.6952503;69.1660833;261.89675;254.1182292;495.8677709;;168.1358469;43.0003809;319.9044552;54.20253815;56.07414855;266.6163907;32.20618569;69.33948668;;1860.360583;;;;0.789550206;22.1465472;586.8178387;754;377;111.7;3.375111907;34.42675281
Ponsse BK;18/9/2019;Manana;6;14:19:21;15:40:56;;33;124;pulpable;0.084774822;10.51207792;328.952375;0;494.1081462;572.5487705;0;241.5190624;245.1590625;3012.921313;;263.9651097;0;403.3320176;53.01110257;0;252.4945945;31.77536882;363.9402043;;1882.287417;;;;0.384516273;20.10504888;661.5618697;849;424.5;111.7;3.800358102;32.28029185
Ponsse BK;18/9/2019;Manana;7;15:40:58;15:54:04;;13;39;pulpable;0.084774822;3.306218056;165.1082501;39.1583958;101.5289376;207.9619374;52.54025;149.7913333;71.851;0;;226.9413615;0;86.47859439;27.63974167;77.32563671;192.0113787;14.28888813;0;;787.9401042;;;;1;15.10569768;334.6177829;562;281;111.7;2.515666965;33.43690914
Ponsse BK;18/9/2019;Manana;8;15:54:07;16:12:38;;11;19;16 pie;0.384350678;7.302662875;113.2021458;0;122.4685001;176.0440832;23.797625;0;81.7464375;596.1199584;;409.9272274;0;142.3451955;9.225081685;23.17174816;0;54.38547975;55.38641225;;517.2587916;;;;0.464584753;50.82482266;358.8946833;524;262;66.8;3.922155689;33.73763044
